Threshold,Statistic,Metric,,,,,,,,
80,Maximum,CPUUtilization,WarmCPUUtilization,,,,,,,
0,,ClusterStatus.green,,,,,,,,
1,,ClusterStatus.red,ClusterStatus.yellow,,,,,,,
20480,Minimum,FreeStorageSpace,,,,,,,,
1,,ClusterIndexWritesBlocked,,,,,,,,
1,,AutomatedSnapshotFailure,,,,,,,,
95,Maximum,JVMMemoryPressure,,,,,,,,
50,Maximum,MasterCPUUtilization,,,,,,,,
95,Maximum,MasterJVMMemoryPressure,,,,,,,,
1,Sum,ThreadpoolSearchRejected,ThreadpoolWriteRejected,PrimaryWriteRejected,ReplicaWriteRejected,,,,,
,,ThreadpoolSearchQueue,ThreadpoolWriteQueue,,,,,,,
,,2xx,3xx,4xx,5xx,,,,,
,,Nodes,,,,,,,,
,,OpenSearchDashboardsHealthyNodes,,,,,,,,
,,ThroughputThrottle,,,,,,,,
,,IopsThrottle,,,,,,,,
